ID Contrat,ID Client,ID Produit,ID Agent,ID Agence,Date Début,Date Fin,Statut Contrat,Montant Prime,Montant Commission,Fréquence Paiement,Renouvelé,Mode Paiement,Durée Contrat Mois
CTR-00001,CLT-0387,PRD-006,AGT-057,AGC-011,2023-09-02,2024-08-27,Expiré,5559000,611000,Annuelle,Oui,Virement bancaire,12
CTR-00002,CLT-0065,PRD-002,AGT-055,AGC-010,2023-06-21,2025-06-10,Expiré,9915000,992000,Trimestrielle,Non,Virement bancaire,24
CTR-00003,CLT-0640,PRD-002,AGT-033,AGC-005,2023-05-04,2024-04-28,Expiré,6587000,659000,Semestrielle,Oui,Espèces,12
CTR-00004,CLT-0218,PRD-003,AGT-005,AGC-001,2024-10-27,2026-10-17,Actif,4520000,407000,Trimestrielle,Non,Carte bancaire,24
CTR-00005,CLT-0512,PRD-008,AGT-009,AGC-001,2025-03-21,2028-03-05,Actif,78785000,10242000,Annuelle,Oui,Virement bancaire,36
CTR-00006,CLT-0647,PRD-005,AGT-036,AGC-006,2023-12-07,2024-12-01,Expiré,1813000,109000,Semestrielle,Non,Espèces,12
CTR-00007,CLT-0019,PRD-005,AGT-033,AGC-005,2024-06-07,2026-05-28,Actif,811000,49000,Annuelle,Non,Mobile Money,24
CTR-00008,CLT-0632,PRD-006,AGT-004,AGC-001,2025-01-25,2026-01-20,Actif,9871000,1086000,Mensuelle,Oui,Mobile Money,12
CTR-00009,CLT-0207,PRD-001,AGT-010,AGC-002,2023-09-01,2026-08-16,Actif,4372000,350000,Semestrielle,Non,Mobile Money,36
CTR-00010,CLT-0285,PRD-002,AGT-045,AGC-008,2024-06-17,2026-06-07,Actif,7319000,732000,Annuelle,Non,Mobile Money,24
CTR-00011,CLT-0751,PRD-003,AGT-010,AGC-002,2024-11-11,2027-10-27,Actif,19105000,1719000,Mensuelle,Non,Carte bancaire,36
CTR-00012,CLT-0534,PRD-003,AGT-018,AGC-003,2023-03-08,2025-02-25,Expiré,5310000,478000,Mensuelle,Non,Mobile Money,24
CTR-00013,CLT-0094,PRD-001,AGT-031,AGC-005,2023-08-30,2024-08-24,Expiré,3842000,307000,Mensuelle,Oui,Mobile Money,12
CTR-00014,CLT-0621,PRD-002,AGT-017,AGC-002,2024-10-12,2025-10-07,Résilié,7849000,785000,Annuelle,Non,Mobile Money,12
CTR-00015,CLT-0387,PRD-001,AGT-022,AGC-003,2024-09-16,2026-09-06,Actif,4161000,333000,Annuelle,Non,Espèces,24
CTR-00016,CLT-0391,PRD-003,AGT-005,AGC-001,2024-09-01,2025-08-27,Expiré,5108000,460000,Trimestrielle,Non,Mobile Money,12
CTR-00017,CLT-0576,PRD-005,AGT-003,AGC-001,2025-01-02,2025-12-28,Expiré,717000,43000,Trimestrielle,Oui,Virement bancaire,12
CTR-00018,CLT-0504,PRD-003,AGT-021,AGC-003,2025-01-30,2026-01-25,Actif,8875000,799000,Semestrielle,Non,Mobile Money,12
CTR-00019,CLT-0040,PRD-008,AGT-003,AGC-001,2023-07-18,2025-07-07,Résilié,72845000,9470000,Annuelle,Non,Mobile Money,24
CTR-00020,CLT-0727,PRD-004,AGT-035,AGC-006,2024-10-28,2025-10-23,Expiré,4624000,324000,Annuelle,Non,Mobile Money,12
CTR-00021,CLT-0724,PRD-005,AGT-041,AGC-007,2023-09-25,2025-09-14,Résilié,775000,46000,Mensuelle,Non,Virement bancaire,24
CTR-00022,CLT-0679,PRD-007,AGT-002,AGC-001,2024-10-21,2026-10-11,Actif,29217000,3506000,Annuelle,Non,Espèces,24
CTR-00023,CLT-0932,PRD-002,AGT-024,AGC-003,2024-03-13,2025-03-08,Expiré,11741000,1174000,Trimestrielle,Non,Mobile Money,12
CTR-00024,CLT-0422,PRD-006,AGT-056,AGC-011,2023-04-22,2025-04-11,Expiré,11888000,1308000,Semestrielle,Oui,Chèque,24
CTR-00025,CLT-0408,PRD-005,AGT-003,AGC-001,2025-04-15,2026-04-10,Actif,851000,51000,Trimestrielle,Non,Mobile Money,12
CTR-00026,CLT-0296,PRD-006,AGT-006,AGC-001,2023-07-10,2025-06-29,Expiré,14187000,1561000,Trimestrielle,Non,Carte bancaire,24
CTR-00027,CLT-0191,PRD-002,AGT-041,AGC-007,2023-09-23,2026-09-07,Actif,13219000,1322000,Annuelle,Oui,Espèces,36
CTR-00028,CLT-0652,PRD-001,AGT-016,AGC-002,2023-05-08,2024-05-02,Expiré,3550000,284000,Semestrielle,Non,Espèces,12
CTR-00029,CLT-0063,PRD-002,AGT-058,AGC-011,2024-08-19,2026-08-09,Actif,4335000,434000,Annuelle,Oui,Mobile Money,24
CTR-00030,CLT-0533,PRD-008,AGT-048,AGC-008,2024-04-29,2026-04-19,Actif,60328000,7843000,Semestrielle,Oui,Mobile Money,24
CTR-00031,CLT-0323,PRD-007,AGT-058,AGC-011,2024-02-13,2025-02-07,Expiré,27801000,3336000,Mensuelle,Oui,Mobile Money,12
CTR-00032,CLT-0716,PRD-003,AGT-050,AGC-009,2023-01-27,2025-01-16,Résilié,6354000,572000,Semestrielle,Non,Carte bancaire,24
CTR-00033,CLT-0378,PRD-003,AGT-038,AGC-006,2024-06-11,2025-06-06,Expiré,22264000,2004000,Annuelle,Non,Espèces,12
CTR-00034,CLT-0369,PRD-007,AGT-060,AGC-012,2024-11-25,2025-11-20,Expiré,30008000,3601000,Mensuelle,Non,Mobile Money,12
CTR-00035,CLT-0954,PRD-008,AGT-025,AGC-004,2025-01-21,2026-01-16,Actif,60538000,7870000,Annuelle,Non,Carte bancaire,12
CTR-00036,CLT-0804,PRD-007,AGT-026,AGC-004,2024-05-24,2026-05-14,Actif,25067000,3008000,Trimestrielle,Non,Carte bancaire,24
CTR-00037,CLT-0173,PRD-007,AGT-057,AGC-011,2024-11-09,2025-11-04,Expiré,18522000,2223000,Semestrielle,Non,Espèces,12
CTR-00038,CLT-0733,PRD-001,AGT-057,AGC-011,2024-01-28,2026-01-17,Actif,2271000,182000,Trimestrielle,Oui,Carte bancaire,24
CTR-00039,CLT-0127,PRD-005,AGT-058,AGC-011,2025-01-12,2026-01-07,Actif,2050000,123000,Mensuelle,Non,Virement bancaire,12
CTR-00040,CLT-0947,PRD-005,AGT-038,AGC-006,2025-01-04,2026-12-25,Actif,2282000,137000,Annuelle,Non,Chèque,24
CTR-00041,CLT-0448,PRD-007,AGT-011,AGC-002,2023-10-25,2024-10-19,Expiré,47029000,5643000,Semestrielle,Non,Espèces,12
CTR-00042,CLT-0377,PRD-001,AGT-016,AGC-002,2024-08-13,2026-08-03,Actif,4192000,335000,Mensuelle,Non,Mobile Money,24
CTR-00043,CLT-0434,PRD-002,AGT-023,AGC-003,2025-03-26,2026-03-21,Actif,9310000,931000,Mensuelle,Non,Espèces,12
CTR-00044,CLT-0873,PRD-003,AGT-005,AGC-001,2025-05-07,2026-05-02,Actif,11160000,1004000,Mensuelle,Oui,Virement bancaire,12
CTR-00045,CLT-0870,PRD-007,AGT-044,AGC-007,2023-11-24,2024-11-18,Résilié,16173000,1941000,Annuelle,Non,Virement bancaire,12
CTR-00046,CLT-0490,PRD-005,AGT-014,AGC-002,2024-12-22,2027-12-07,Actif,429000,26000,Mensuelle,Non,Virement bancaire,36
CTR-00047,CLT-0869,PRD-006,AGT-045,AGC-008,2025-06-05,2027-05-26,Actif,22136000,2435000,Mensuelle,Non,Carte bancaire,24
CTR-00048,CLT-0935,PRD-007,AGT-060,AGC-012,2023-12-12,2024-12-06,Expiré,27415000,3290000,Mensuelle,Oui,Virement bancaire,12
CTR-00049,CLT-0290,PRD-005,AGT-016,AGC-002,2023-04-10,2024-04-04,Expiré,1577000,95000,Annuelle,Non,Virement bancaire,12
CTR-00050,CLT-0469,PRD-005,AGT-033,AGC-005,2024-12-13,2025-12-08,Résilié,761000,46000,Annuelle,Non,Espèces,12
CTR-00051,CLT-0667,PRD-001,AGT-044,AGC-007,2023-04-15,2025-04-04,Résilié,2017000,161000,Annuelle,Non,Mobile Money,24
CTR-00052,CLT-0862,PRD-001,AGT-006,AGC-001,2024-04-30,2025-04-25,Expiré,4931000,394000,Semestrielle,Non,Chèque,12
CTR-00053,CLT-0643,PRD-006,AGT-011,AGC-002,2023-09-04,2024-08-29,Expiré,20510000,2256000,Semestrielle,Oui,Carte bancaire,12
CTR-00054,CLT-0815,PRD-005,AGT-008,AGC-001,2025-06-04,2027-05-25,Actif,1141000,68000,Trimestrielle,Non,Espèces,24
CTR-00055,CLT-0120,PRD-001,AGT-029,AGC-004,2023-08-19,2024-08-13,Expiré,3504000,280000,Semestrielle,Oui,Carte bancaire,12
CTR-00056,CLT-0186,PRD-003,AGT-060,AGC-012,2023-11-02,2024-10-27,Expiré,3762000,339000,Annuelle,Non,Espèces,12
CTR-00057,CLT-0833,PRD-006,AGT-024,AGC-003,2024-07-03,2026-06-23,Actif,15602000,1716000,Annuelle,Oui,Mobile Money,24
CTR-00058,CLT-0839,PRD-006,AGT-004,AGC-001,2024-11-05,2026-10-26,Actif,8613000,947000,Mensuelle,Non,Virement bancaire,24
CTR-00059,CLT-0820,PRD-002,AGT-004,AGC-001,2024-10-30,2025-10-25,Expiré,10812000,1081000,Annuelle,Oui,Mobile Money,12
CTR-00060,CLT-0373,PRD-008,AGT-001,AGC-001,2023-09-12,2024-09-06,Résilié,53958000,7015000,Annuelle,Non,Virement bancaire,12
CTR-00061,CLT-0456,PRD-001,AGT-027,AGC-004,2024-06-19,2027-06-04,Actif,7485000,599000,Trimestrielle,Non,Virement bancaire,36
CTR-00062,CLT-0679,PRD-007,AGT-013,AGC-002,2023-05-26,2024-05-20,Résilié,57871000,6945000,Semestrielle,Non,Mobile Money,12
CTR-00063,CLT-0368,PRD-002,AGT-043,AGC-007,2023-03-18,2024-03-12,Expiré,9198000,920000,Trimestrielle,Oui,Chèque,12
CTR-00064,CLT-0693,PRD-003,AGT-044,AGC-007,2023-07-28,2024-07-22,Expiré,14944000,1345000,Mensuelle,Non,Mobile Money,12
CTR-00065,CLT-0674,PRD-005,AGT-026,AGC-004,2024-03-05,2026-02-23,Actif,996000,60000,Trimestrielle,Non,Chèque,24
CTR-00066,CLT-0254,PRD-001,AGT-002,AGC-001,2024-12-01,2025-11-26,Expiré,3741000,299000,Trimestrielle,Oui,Mobile Money,12
CTR-00067,CLT-0890,PRD-006,AGT-011,AGC-002,2024-01-22,2027-01-06,Actif,15333000,1687000,Annuelle,Non,Espèces,36
CTR-00068,CLT-0540,PRD-006,AGT-017,AGC-002,2023-04-08,2024-04-02,Expiré,22308000,2454000,Semestrielle,Non,Carte bancaire,12
CTR-00069,CLT-0175,PRD-002,AGT-041,AGC-007,2023-12-20,2025-12-09,Expiré,10310000,1031000,Annuelle,Non,Mobile Money,24
CTR-00070,CLT-0607,PRD-001,AGT-009,AGC-001,2024-12-31,2025-12-26,Expiré,2826000,226000,Mensuelle,Non,Virement bancaire,12
