ID Objectif,Année,Mois,ID Agence,ID Produit,Objectif Primes,Objectif Nouveaux Contrats,Objectif Taux Renouvellement,Objectif Ratio Sinistres Primes
OBJ-00001,2023,1,AGC-001,PRD-001,1219173000,35,0.79,0.61
OBJ-00002,2023,1,AGC-001,PRD-002,1126728000,36,0.69,0.47
OBJ-00003,2023,1,AGC-001,PRD-003,1399726000,36,0.65,0.45
OBJ-00004,2023,1,AGC-001,PRD-004,1747452000,23,0.65,0.5
OBJ-00005,2023,1,AGC-001,PRD-005,890835000,19,0.68,0.61
OBJ-00006,2023,1,AGC-001,PRD-006,995622000,29,0.61,0.57
OBJ-00007,2023,1,AGC-001,PRD-007,4290137000,50,0.61,0.57
OBJ-00008,2023,1,AGC-001,PRD-008,2583583000,27,0.79,0.56
OBJ-00009,2023,1,AGC-002,PRD-001,1460477000,34,0.67,0.59
OBJ-00010,2023,1,AGC-002,PRD-002,1070361000,37,0.76,0.47
OBJ-00011,2023,1,AGC-002,PRD-003,1504427000,18,0.67,0.5
OBJ-00012,2023,1,AGC-002,PRD-004,1328035000,27,0.7,0.59
OBJ-00013,2023,1,AGC-002,PRD-005,728094000,15,0.73,0.59
OBJ-00014,2023,1,AGC-002,PRD-006,1577555000,22,0.65,0.56
OBJ-00015,2023,1,AGC-002,PRD-007,3471771000,45,0.74,0.46
OBJ-00016,2023,1,AGC-002,PRD-008,4123481000,36,0.66,0.41
OBJ-00017,2023,1,AGC-003,PRD-001,1671460000,25,0.76,0.4
OBJ-00018,2023,1,AGC-003,PRD-002,970339000,42,0.75,0.54
OBJ-00019,2023,1,AGC-003,PRD-003,1398058000,41,0.72,0.43
OBJ-00020,2023,1,AGC-003,PRD-004,1312474000,15,0.77,0.52
OBJ-00021,2023,1,AGC-003,PRD-005,782010000,25,0.7,0.56
OBJ-00022,2023,1,AGC-003,PRD-006,1627512000,29,0.7,0.45
OBJ-00023,2023,1,AGC-003,PRD-007,4433979000,18,0.61,0.57
OBJ-00024,2023,1,AGC-003,PRD-008,2584921000,15,0.77,0.43
OBJ-00025,2023,1,AGC-004,PRD-001,500180000,4,0.61,0.64
OBJ-00026,2023,1,AGC-004,PRD-002,500160000,18,0.63,0.59
OBJ-00027,2023,1,AGC-004,PRD-003,201971000,7,0.77,0.54
OBJ-00028,2023,1,AGC-004,PRD-004,484451000,11,0.7,0.48
OBJ-00029,2023,1,AGC-004,PRD-005,177923000,5,0.69,0.55
OBJ-00030,2023,1,AGC-004,PRD-006,286198000,10,0.67,0.64
OBJ-00031,2023,1,AGC-004,PRD-007,605388000,17,0.76,0.5
OBJ-00032,2023,1,AGC-004,PRD-008,1487993000,8,0.77,0.55
OBJ-00033,2023,1,AGC-005,PRD-001,562873000,18,0.67,0.63
OBJ-00034,2023,1,AGC-005,PRD-002,473878000,11,0.61,0.52
OBJ-00035,2023,1,AGC-005,PRD-003,511999000,5,0.66,0.48
OBJ-00036,2023,1,AGC-005,PRD-004,293938000,18,0.74,0.61
OBJ-00037,2023,1,AGC-005,PRD-005,196518000,12,0.73,0.64
OBJ-00038,2023,1,AGC-005,PRD-006,580473000,12,0.65,0.42
OBJ-00039,2023,1,AGC-005,PRD-007,1003097000,18,0.71,0.52
OBJ-00040,2023,1,AGC-005,PRD-008,918807000,8,0.76,0.5
OBJ-00041,2023,1,AGC-006,PRD-001,297479000,8,0.77,0.65
OBJ-00042,2023,1,AGC-006,PRD-002,410380000,10,0.61,0.52
OBJ-00043,2023,1,AGC-006,PRD-003,521603000,8,0.7,0.44
OBJ-00044,2023,1,AGC-006,PRD-004,212719000,17,0.72,0.4
OBJ-00045,2023,1,AGC-006,PRD-005,178358000,7,0.76,0.42
OBJ-00046,2023,1,AGC-006,PRD-006,221345000,5,0.69,0.42
OBJ-00047,2023,1,AGC-006,PRD-007,1092461000,15,0.61,0.51
OBJ-00048,2023,1,AGC-006,PRD-008,1371576000,4,0.65,0.46
OBJ-00049,2023,1,AGC-007,PRD-001,286193000,8,0.62,0.64
OBJ-00050,2023,1,AGC-007,PRD-002,530712000,7,0.79,0.41
OBJ-00051,2023,1,AGC-007,PRD-003,578676000,16,0.6,0.47
OBJ-00052,2023,1,AGC-007,PRD-004,293941000,7,0.64,0.49
OBJ-00053,2023,1,AGC-007,PRD-005,176095000,5,0.67,0.64
OBJ-00054,2023,1,AGC-007,PRD-006,266041000,16,0.65,0.61
OBJ-00055,2023,1,AGC-007,PRD-007,737419000,14,0.71,0.53
OBJ-00056,2023,1,AGC-007,PRD-008,986268000,5,0.73,0.51
OBJ-00057,2023,1,AGC-008,PRD-001,329387000,13,0.75,0.54
OBJ-00058,2023,1,AGC-008,PRD-002,374920000,7,0.69,0.63
